鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
苓雅區,房地(土地+建物),高雄市苓雅區武仁街１０９號,32.86,住,,,1110129,土地1建物1車位0,一層，二層，騎樓，地下層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720812,120.63000000000001,4,2,2,有,無,7680000,63666,,0.0,0,,RPTNMLTJLHHGFBE18DA,100.62,3.55,9.31,無,
苓雅區,房地(土地+建物),高雄市苓雅區中正二路３６號十二樓之７,4.32,商,,,1080513,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,61.23,2,2,1,有,有,4780000,78066,,0.0,0,,RPVQMLSJLHHGFBE58DA,35.11,1.21,3.58,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號十四樓之６,5.3,商,,,1080421,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,87.35,1,1,1,有,有,7250000,76311,升降機械,12.0,1500000,,RPRQMLSJLHHGFBE18DA,39.73,1.78,7.58,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號十二樓之６,5.3,商,,,1080413,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,87.35,1,1,1,有,有,6820000,75912,升降機械,12.0,1100000,,RPXPMLSJLHHGFBE68DA,39.73,1.78,7.58,有,
苓雅區,土地,苓中段422地號,20.5,都市：其他:道路用地,,,1110307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,730000,35610,,0.0,0,包含公共設施保留地用地；,RPPOMLOJLHHGFBE37DA,0.0,0.0,0.0,無,0194
苓雅區,土地,正言段726地號,50.25,住,,,1110216,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,15920,,0.0,0,包含公共設施保留地用地；,RPVOMLRJLHHGFBE28DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區輔仁路１７７巷１４號五樓,24.9,住,,,1110306,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701229,66.03,3,2,2,有,無,4580000,69362,,0.0,0,,RPOOMLLKLHHGFBE07DA,66.03,0.0,0.0,無,0195
苓雅區,土地,過田子段1175-5地號,90.0,都市：其他:道路用地,,,1110125,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800225,42225,,0.0,0,包含公共設施保留地用地；,RPXNMLKKLHHGFBE77DA,0.0,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區永富街２８之４號,25.2,住,,,1110109,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670824,78.04,3,2,2,有,無,3800000,48693,,0.0,0,以固定物交付陽台外推；,RPTNMLKKLHHGFBE37DA,78.04,0.0,0.0,無,
苓雅區,房地(土地+建物),高雄市苓雅區建國一路６２巷１１弄６之４號,25.44,住,,,1110219,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690507,77.08,3,2,2,有,無,2500000,32434,,0.0,0,已折讓價金48萬元整不負一般瑕疵擔保修繕責任,RPQOMLOKLHHGFBE57DA,77.08,0.0,0.0,無,
新興區,房地(土地+建物)+車位,高雄市新興區復興二路２１７號五樓之７,6.51,商,,,1090916,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,100.96000000000001,2,1,2,有,有,7800000,73231,坡道機械,12.2,1300000,,RPUNMLLLLHHGFBE67DA,49.7,2.83,4.14,有,
小港區,房地(土地+建物)+車位,高雄市小港區港信路８２號七樓,13.39,商,,,1080704,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101012,149.8,3,2,2,有,有,7100000,45527,坡道平面,24.6,1400000,預售屋、或土地及建物分件登記案件；,RPORMLSLRHGGFCE78DA,73.48,0.0,8.35,有,
小港區,房地(土地+建物)+車位,高雄市小港區港信路８６號,10.98,商,,,1081216,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101012,119.5,2,2,2,有,有,5500000,44988,坡道機械,16.14,850000,預售屋、或土地及建物分件登記案件；,RPWPMLLJIIGGFCE67DA,63.89,0.0,3.64,有,
小港區,房地(土地+建物)+車位,高雄市小港區港信路９８號,9.95,商,,,1090116,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101012,108.32,2,2,2,有,有,4950000,44478,坡道機械,16.14,850000,預售屋、或土地及建物分件登記案件；,RPQRMLLJIIGGFCE27DA,56.68,0.0,3.51,有,
小港區,房地(土地+建物)+車位,高雄市小港區港信路１００號三樓,12.01,商,,,1080802,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101012,138.74,3,2,2,有,有,6310000,42141,坡道平面,24.6,1500000,預售屋、或土地及建物分件登記案件；,RPVSMLLJIIGGFCE87DA,70.63,0.0,3.99,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號十一樓之６,5.3,商,,,1080407,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,87.35,1,1,1,有,有,6780000,75382,升降機械,12.0,1100000,,RPVNMLNJLHHGFBE77DA,39.73,1.78,7.58,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號二樓之３,5.12,商,,,1080413,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,84.68,2,2,1,有,有,6590000,74161,升降機械,12.0,1200000,,RPTNMLMJLHHGFBE47DA,41.47,0.0,5.88,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號十三樓之６,5.3,商,,,1080413,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,87.35,1,1,1,有,有,6820000,75912,升降機械,12.0,1100000,,RPXPMLOJLHHGFBE28DA,39.73,1.78,7.58,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區明德街１８１號十樓之２,14.11,住,,,1091120,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101021,124.37,2,2,2,有,有,9680000,76886,坡道平面,21.88,1800000,,RPRNMLKLKHHGFBE17DA,58.12,0.0,8.15,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區明德街１８１號十二樓之１,22.29,住,,,1100611,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101021,183.86,3,2,2,有,有,13580000,72108,坡道平面,21.88,1900000,,RPSNMLKLKHHGFBE27DA,81.57,0.0,23.07,有,
苓雅區,房地(土地+建物)+車位,高雄市苓雅區中正二路３６號十四樓之１,5.47,商,,,1080411,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,89.91,2,2,1,有,有,7400000,79579,升降機械,12.0,1200000,,RPUPMLLJLHHGFBE67DA,42.33,2.3,6.24,有,
苓雅區,房地(土地+建物),高雄市苓雅區中正二路３６號七樓之７,4.32,商,,,1080130,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1101230,61.23,2,2,1,有,有,4560000,74473,,0.0,0,,RPQQMLQKKHHGFBE87DA,35.11,1.21,3.58,有,
新興區,房地(土地+建物)+車位,高雄市新興區七賢一路２５６號３樓之１,14.86,商,,,1110208,土地1建物1車位1,三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871014,296.69,4,2,2,有,有,10000000,33705,坡道平面,35.74,0,含傢俱設備費；其他增建；,RPTPMLTJKHHGFBE28DA,152.73,79.42,15.41,有,
鼓山區,房地(土地+建物),高雄市鼓山區九如四路１３８２巷１７號三樓,26.3,住,,,1110209,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740828,97.88,3,2,2,有,無,3880000,39640,,0.0,0,,RPVPMLOKLHHGFAE08DA,75.36,0.82,8.57,無,0196
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路１０號五樓之２,9.8,商,,,1110117,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,92.53999999999999,3,2,2,有,有,7080000,76507,,0.0,0,,RPQRMLOKLHHGFAE77DA,60.43,3.26,6.88,有,
新興區,房地(土地+建物),高雄市新興區復興二路２１７號二樓之６,4.34,商,,,1100629,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110114,67.04,2,1,1,有,有,4780000,71301,,0.0,0,,RPPOMLPKJHHGFBE37DA,37.53,1.56,3.72,有,
前金區,土地,民生段203-4地號,11.44,都市：其他:道路用地,,,1110223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,760334,66463,,0.0,0,包含公共設施保留地用地；,RPUPMLTJLHHGFAE38DA,0.0,0.0,0.0,無,0197
前金區,房地(土地+建物)+車位,高雄市前金區青年二路１５２之３號十樓,6.53,商,,,1101207,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040325,87.8,2,1,1,有,有,7250000,82574,塔式車位,10.01,0,含傢俱設備費；,RPVOMLKKLHHGFAE57DA,48.38,0.0,4.56,有,0198
