,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
7,萬華區,房地(土地+建物),臺北市萬華區水源路２０５之２號四樓,28.01,住,,,1110101,土地2建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861023,161.38,3,2,2,有,有,22300000,138183,,0.0,0,陽台外推；其他增建；,RPOPMLQLJHHGFBA17DA,83.52,0.0,13.2,有,
19,萬華區,房地(土地+建物)+車位,臺北市萬華區西寧南路１２７號九樓之１,4.85,商,,,1110211,土地1建物1車位1,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1010320,108.97,2,1,1,有,有,22500000,206479,坡道機械,17.47,0,車位編號:B6-77號,RPQNMLTJLHHGFBA47DA,52.36,5.94,3.22,有,3.0
25,內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１６７巷１號十一樓之１,33.79,住,,,1110125,土地2建物1車位1,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940627,232.03000000000003,3,2,2,有,有,53980000,232642,坡道平面,0.0,0,陽台外推；其他增建；,RPUOMLPKKHHGFCA67DA,121.18,3.88,10.18,有,
41,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段７０５號二樓,11.42,商,,,1101231,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,129.2,4,2,2,有,有,28950000,224071,坡道平面,0.0,0,權利人原持有部分，現再取得部分親友、員工、共有人或其他特殊關係間之交易；,RPXOMLTJLHHGFCA38DA,69.67,6.0,6.59,有,13.0
52,信義區,房地(土地+建物)+車位,臺北市信義區福德街１６９號十一樓,55.16,住,,,1110214,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010420,394.75,4,1,3,有,有,98000000,310497,坡道平面,95.23,5000000,,RPOQMLTJLHHGFDA77DA,147.13,21.13,14.26,有,
53,信義區,房地(土地+建物),臺北市信義區松德路２５巷３４號四樓,14.02,住,,,1110221,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740620,118.61,3,2,2,有,有,25830000,217773,,0.0,0,前陽台有外推，後陽台沒有外推陽台外推；,RPOQMLKKLHHGFDA96DA,89.99,0.0,7.76,有,
55,北投區,房地(土地+建物)+車位,臺北市北投區大度路三段２７０巷６７號十八樓,60.85,,,,1110127,土地1建物1車位2,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010217,381.38,3,2,3,有,有,48000000,125855,坡道平面,0.0,0,陽台外推；其他增建；,RPOOMLOKKHHGFEA17DA,187.24,8.08,7.23,有,19.0
57,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷３號十四樓,17.24,住,,,1071028,土地1建物1車位0,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,94.15,1,1,1,有,有,15750000,167286,,0.0,0,本案係預售屋,RPVOMLLLKHHGFEA67DA,51.54,2.05,7.86,有,
58,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷５號八樓,19.59,住,,,1070528,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,107.22999999999999,0,0,0,無,有,17100000,159470,,0.0,0,本案係預售屋,RPQPMLLLKHHGFEA27DA,56.29,5.18,8.52,有,
59,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷５號十六樓,21.68,住,,,1100319,土地1建物1車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,148.87,2,1,1,有,有,21350000,178758,坡道平面,41.63,2180000,,RPSQMLLLKHHGFEA57DA,56.29,5.18,8.52,有,
60,北投區,房地(土地+建物),臺北市北投區中央北路四段５４１巷９號三樓,17.76,住,,,1081118,土地1建物1車位0,三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,96.68,1,1,1,有,有,12500000,129293,,0.0,0,本案係預售屋,RPQSMLLLKHHGFEA57DA,53.32,1.77,8.03,有,
61,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷９號十四樓,19.85,住,,,1071029,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,138.31,2,1,1,有,有,18160000,167149,坡道平面,41.63,2000000,本案係預售屋,RPXSMLLLKHHGFEA28DA,53.32,1.77,8.03,有,
62,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１１號七樓,19.85,住,,,1101022,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,139.38,2,1,1,有,有,17200000,157545,坡道平面,41.63,1800000,,RPTTMLLLKHHGFEA97DA,53.32,2.47,8.03,有,
63,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號五樓,23.77,住,,,1070621,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,3,2,2,有,有,20900000,155580,坡道平面,41.63,2400000,本案係預售屋,RPUUMLLLKHHGFEA18DA,65.09,6.11,6.42,有,
64,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１５號八樓,25.6,住,,,1070908,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,170.75,3,2,2,有,有,23380000,164033,坡道平面,41.63,2200000,本案係預售屋,RPSVMLLLKHHGFEA08DA,69.32,6.44,8.52,有,
65,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１１號八樓,19.85,住,,,1070614,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,139.38,1,1,1,有,有,17900000,160614,坡道平面,41.63,2200000,本案係預售屋,RPTQMLPLKHHGFEA08DA,53.32,2.47,8.03,有,
66,北投區,房地(土地+建物)+車位,臺北市北投區大業路４６０號四樓,13.62,住,,,1110213,土地3建物1車位1,四層，電梯樓梯間,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860111,121.22,2,2,1,有,有,21600000,178188,坡道平面,0.0,2500000,陽台加窗陽台外推；其他增建；,RPXQMLPLKHHGFEA48DA,66.61,2.7,8.56,有,
67,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷７號十一樓,25.34,住,,,1100409,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,168.26,3,2,2,有,有,24800000,179262,坡道平面,41.63,2100000,,RPWNMLMJLHHGFEA67DA,69.82,6.41,6.42,有,
68,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷７號十八樓,25.6,住,,,1070906,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,168.21,3,2,2,有,有,25120000,182651,坡道平面,41.63,2000000,本案係預售屋,RPSOMLMJLHHGFEA37DA,69.82,6.41,6.42,有,
69,北投區,房地(土地+建物)+車位,臺北市北投區中央北路四段５４１巷１３號八樓,23.77,住,,,1070721,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101216,160.54000000000002,3,2,2,有,有,23160000,174586,坡道平面,41.63,2400000,本案係預售屋109年12月16日換約金額新台幣22000000元整,RPRNMLNJLHHGFEA27DA,65.09,6.11,6.42,有,
76,大安區,房地(土地+建物),臺北市大安區敦化南路二段１５４巷３號四樓,13.59,住,,,1110107,土地2建物1車位0,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740417,137.71,3,2,2,有,有,33800000,245443,,0.0,0,陽台外推；,RPTNMLKLJHHGFFA27DA,80.57,0.0,13.83,有,
78,大安區,房地(土地+建物),臺北市大安區四維路１９８巷３８弄９號十三樓,19.39,住,,,1110118,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,101.38,2,2,2,有,有,26080000,257275,,0.0,0,其他增建；,RPQNMLKKKHHGFFA96DA,73.86,1.56,4.72,有,
96,中山區,房地(土地+建物),臺北市中山區雙城街３巷２號十二樓,5.11,商,,,1110212,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841201,33.66,1,1,1,有,有,6500000,193108,,0.0,0,陽台外推；,RPPQMLSJLHHGFCA77EA,19.94,0.0,2.78,有,
97,中山區,房地(土地+建物)+車位,臺北市中山區雙城街３巷１２號九樓,15.77,商,,,1110117,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,205.63,3,2,2,有,有,46880000,227982,坡道平面,0.0,0,,RPVQMLSJLHHGFCA38EA,100.63,2.64,10.84,有,
98,中山區,房地(土地+建物)+車位,臺北市中山區建國北路三段７１號三樓之２,8.6,住,,,1110114,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,86.28,0,0,0,無,有,20850000,235317,坡道機械,8.3,2500000,含裝潢費；,RPQNMLTJLHHGFCA67EA,42.68,2.32,4.31,有,
100,內湖區,房地(土地+建物)+車位,臺北市內湖區康樂街１２９之５號五樓,19.67,住,,,1110123,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011029,111.39,2,2,1,有,有,20000000,197586,坡道機械,17.76,1500000,,RPSPMLTJLHHGFCA08EA,54.73,4.35,4.01,有,32.0
105,信義區,房地(土地+建物),臺北市信義區信義路五段１２７號十二樓之１２,6.56,都市：其他:特定業務區(信義計畫特定專用區)。,,,1110220,土地1建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,40.28,1,1,1,有,有,11680000,289970,,0.0,0,,RPPOMLLLKHHGFDA07EA,21.9,1.47,2.97,有,34.0
163,南港區,房地(土地+建物)+車位,臺北市南港區向陽路２５８巷１１號十一樓,57.17,住,,,1101121,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950803,290.75,4,2,2,有,有,50500000,173689,坡道平面,75.68,0,其他增建；,RPTOMLSJLHHGFDA97DA,136.38,5.68,15.39,有,49.0
176,中山區,房地(土地+建物)+車位,臺北市中山區雙城街１９巷８號十三樓之１４,7.28,商,,,1110216,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,93.82,2,1,1,有,有,16600000,230882,塔式車位,25.82,900000,陽台外推；夾層；,RPWOMLSJLHHGFCA18DA,39.76,0.63,5.18,有,53.0
177,中山區,房地(土地+建物),臺北市中山區長安東路一段２０號九樓,4.84,商,,,1110216,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961120,47.95,1,1,1,有,有,12500000,260688,,0.0,0,陽台外推；夾層；其他增建；,RPXOMLOJLHHGFCA87DA,27.87,0.65,3.24,有,
179,中山區,房地(土地+建物)+車位,臺北市中山區錦西街５號八樓,20.56,商,,,1110118,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,225.7,5,2,4,有,有,51450000,227957,塔式車位,24.6,0,,RPWONLMLKHHGFCA77DA,118.07,9.98,12.13,有,
180,中山區,房地(土地+建物)+車位,臺北市中山區錦西街３號八樓,23.19,商,,,1110118,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010924,251.91,5,2,4,有,有,57686000,228994,塔式車位,24.6,0,,RPOPNLMLKHHGFCA07DA,133.19,10.9,14.35,有,
184,中山區,房地(土地+建物)+車位,臺北市中山區南京東路三段１１０號四樓,11.77,商,,,1110125,土地1建物1車位1,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1091113,156.91,0,0,0,無,有,47250000,356706,坡道平面,34.26,3500000,,RPROMLSKJHHGFCA57DA,63.98,3.04,9.69,有,
186,中正區,房地(土地+建物),臺北市中正區信義路二段２６１號四樓之３,6.29,商,,,1110225,土地12建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1070702,59.870000000000005,1,1,1,有,有,27165000,453733,,0.0,0,,RPVOMLSJLHHGFBA97DA,34.18,3.63,0.0,有,55.0
189,中正區,房地(土地+建物),臺北市中正區開封街一段４８號八樓之２,3.69,商,,,1110128,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961025,35.46,1,1,1,有,有,7000000,197406,,0.0,0,姊妹交易親友、員工、共有人或其他特殊關係間之交易；,RPQOMLRJLHHGFBA37DA,22.84,0.0,0.0,有,
204,文山區,房地(土地+建物)+車位,臺北市文山區福興路１０６巷１３號四樓,23.77,住,,,1110123,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990819,141.15,2,2,1,有,有,18500000,175420,坡道平面,47.09,2000000,陽台外推；其他增建；,RPPPMLKKLHHGFAA66DA,56.72,8.28,4.97,有,60.0
206,中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５２號十二樓之１,25.38,商,,,1101126,土地1建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,296.36,0,0,0,無,有,77380000,287528,坡道平面,41.15,4000000,毛胚屋；,RPTNMLPLJIGGFBA37DA,154.07,5.94,21.17,有,
208,萬華區,房地(土地+建物),臺北市萬華區環河南路二段２１號十七樓,8.47,商,,,1110219,土地2建物1車位0,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,90.47,2,2,1,有,有,18800000,207781,,0.0,0,買賣價格含直興段二小段1516及1517建號各持分451/100000,RPPNMLLKLHHGFBA66DA,53.82,3.16,3.89,有,
209,萬華區,房地(土地+建物),臺北市萬華區環河南路二段２５號二十樓,8.47,商,,,1110224,土地2建物1車位0,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,90.47,2,2,1,有,有,19500000,215517,,0.0,0,買賣價格含直興段二小段1516及1517建號各持分451/100000,RPQNMLLKLHHGFBA76DA,53.82,3.16,3.89,有,
210,萬華區,房地(土地+建物)+車位,臺北市萬華區成都路１３９號十樓之７,9.71,商,,,1110116,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,156.63,3,2,2,有,有,31350000,225878,坡道平面,31.12,3000000,,RPSNMLLKLHHGFBA96DA,70.98,2.34,10.41,有,
223,內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段３５號九樓,29.51,住,,,1101225,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961121,138.02,3,2,2,有,有,33160000,265268,坡道機械,19.81,1800000,,RPVRMLRJLHHGFCA28DA,74.94,3.9,7.34,有,68.0
224,內湖區,房地(土地+建物),臺北市內湖區成功路四段４１巷６號之１五樓,17.33,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區)及第三種住宅區。,,,1110106,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721024,125.71000000000001,2,2,2,有,有,25300000,201257,,0.0,0,,RPPNMLTJLHHGFCA47DA,94.82,0.0,21.57,有,
229,中山區,房地(土地+建物),臺北市中山區民權東路三段８８號七樓之２,25.65,商,,,1110211,土地1建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751125,239.23,4,3,2,有,有,54270000,226853,,0.0,0,,RPTPMLTJLHHGFCA08DA,184.14,0.0,18.84,有,
235,信義區,房地(土地+建物)+車位,臺北市信義區松德路１３７號六樓,75.62,住,,,1110215,土地2建物1車位4,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990720,608.19,0,0,0,無,有,202000000,421846,坡道平面,162.53,14000000,,RPUOMLOLKHHGFDA77DA,256.16,12.98,35.25,有,
237,松山區,房地(土地+建物)+車位,臺北市松山區三民路２９巷１號三樓,43.45,住,,,1110220,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931111,204.17,4,2,2,有,有,48000000,235098,坡道平面,0.0,0,陽台外推；,RPQOMLTJLHHGFDA77DA,115.54,2.54,11.02,有,72.0
240,信義區,房地(土地+建物)+車位,臺北市信義區光復南路５６７號十八樓之９,9.39,商,,,1101231,土地1建物1車位1,十八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0970822,119.3,2,2,1,有,有,37000000,356170,坡道平面,23.84,3000000,陽台外推；,RPTOMLKKLHHGFDA27DA,53.21,0.0,9.59,有,
257,大安區,房地(土地+建物),臺北市大安區和平東路二段３１１巷４３弄１９號十二樓,21.61,住,,,1110221,土地1建物1車位0,十二層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,111.24,3,2,2,有,有,28000000,251708,,0.0,0,陽台外推；,RPXNMLLKLHHGFFA87DA,83.19,1.56,8.27,有,
260,中正區,房地(土地+建物)+車位,臺北市中正區忠孝東路二段１２６號十二樓,17.21,商,,,1110214,土地2建物1車位1,十二層，十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990629,177.0,3,2,3,有,有,63980000,361469,塔式車位,0.0,0,陽台外推；,RPOOMLKKLHHGFBA66EA,97.82,4.44,11.73,有,
262,文山區,房地(土地+建物),臺北市文山區辛亥路四段２５２巷１２號八樓,21.38,住,,,1110118,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910507,94.33000000000001,2,2,1,有,有,20000000,212022,,0.0,0,,RPSOMLKKLHHGFAA96EA,65.18,3.82,6.68,有,
265,文山區,房地(土地+建物)+車位,臺北市文山區車前路１７號十四樓,20.22,商,,,1110112,土地1建物1車位3,十四層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,305.72,3,2,2,有,有,54454840,178120,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKLHHGFAA17EA,143.28,10.5,12.1,有,
266,文山區,房地(土地+建物)+車位,臺北市文山區車前路１１之１號十樓,15.82,商,,,1110207,土地1建物1車位2,十層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,236.68,3,2,2,有,有,43340700,183119,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKLHHGFAA27EA,122.99,8.11,7.77,有,80.0
275,中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段１６８之３號八樓、八樓之１,12.32,商,,,1101220,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0951129,129.12,3,2,2,有,有,37400000,289653,升降機械,18.13,0,建築物含有:增建露台,RPRQMLKKLHHGFCA27EA,82.93,0.0,4.21,有,82.0
278,松山區,房地(土地+建物)+車位,臺北市松山區南京東路五段１６７號五樓之１,18.76,都市：其他:聯合開發區(捷)。,,,1101129,土地1建物1車位2,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0991112,315.09000000000003,4,2,2,有,有,69880000,261835,坡道平面,71.12,6000000,,RPTQMLLKKHHGFDA57EA,144.47,5.85,14.08,有,
287,士林區,房地(土地+建物),臺北市士林區芝玉路一段１９７巷５號二樓,35.79,住,,,1101226,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000720,160.48000000000002,3,2,2,有,有,38000000,236790,,0.0,0,依土地法第34條之1出售其他增建；,RPXOMLKKLHHGFEA87EA,99.69,0.86,7.23,有,
290,大安區,房地(土地+建物),臺北市大安區復興南路一段２５３巷８號十四樓之５,4.71,商,,,1110213,土地2建物2車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680115,52.17,1,1,1,有,有,17760000,340426,,0.0,0,陽台外推；其他增建；,RPROMLLKLHHGFFA47EA,36.96,0.0,5.79,有,
295,大安區,房地(土地+建物),臺北市大安區光復南路４６０號五樓之２,8.17,商,,,1110216,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670310,90.17,3,2,2,有,有,26000000,288344,,0.0,0,,RPTOMLLKKHHGFFA57EA,75.68,0.0,2.15,有,
298,士林區,房地(土地+建物),臺北市士林區社正路３０號六樓,12.68,商,,,1110209,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090702,79.34,1,1,1,有,有,14400000,181497,,0.0,0,,RPWOMLPKLHHGFEA28EA,46.26,2.34,5.54,有,
306,文山區,房地(土地+建物)+車位,臺北市文山區羅斯福路六段２８５號八樓之５,10.73,商,,,1110127,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990930,101.66,2,1,1,有,有,23380000,245677,升降機械,12.6,1500000,,RPVOMLMKJHHGFAA27EA,46.75,8.68,3.88,有,90.0
312,大安區,房地(土地+建物),臺北市大安區信義路三段１０５號十二樓之１０,3.31,商,,,1110212,土地2建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960322,38.78,1,1,1,有,有,16800000,433213,,0.0,0,陽台外推；,RPUNMLSJLHHGFFA18DA,21.34,0.62,2.14,有,93.0
313,大安區,房地(土地+建物),臺北市大安區和平東路一段１９１號十四樓,6.17,商,,,1110303,土地2建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071224,64.73,1,1,1,有,有,23580000,364282,,0.0,0,,RPWNMLLKLHHGFFA77DA,35.36,1.21,2.95,有,
318,北投區,房地(土地+建物),臺北市北投區知行路３３６號五樓,10.2,住,,,1110212,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860122,70.03999999999999,3,1,1,有,有,10400000,148487,,0.0,0,陽台外推；夾層；,RPOPMLOKKHHGFEA27DA,37.48,1.6,4.75,有,
330,信義區,房地(土地+建物),臺北市信義區松德路２５巷１８號四樓,7.97,住,,,1100712,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740620,70.82,2,1,1,有,有,16200000,228749,,0.0,0,,RPUNMLLKLHHGFDA37DA,53.48,0.0,5.48,有,
339,信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４７１號八樓之１,14.81,商,,,1110222,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,155.79000000000002,3,2,2,有,有,49600000,318377,坡道平面,32.04,0,車位總價為320萬元,RPXPMLNLKHHGFDA08DA,76.06,2.13,11.15,有,
343,中山區,房地(土地+建物)+車位,臺北市中山區南京東路一段１０６號十四樓,32.53,商,,,1101130,土地2建物1車位3,十四層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040731,556.17,0,0,0,無,有,207990000,427632,坡道平面,72.6,1200000,含裝潢費21940000元；,RPTNMLPKLHHGFCA57DA,273.14,18.91,27.65,有,
346,內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段７號二樓,18.95,住,,,1110126,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,156.42000000000002,0,0,0,無,有,37480000,239611,坡道平面,0.0,0,毛胚屋；,RPOQMLKKLHHGFCA86DA,67.0,8.12,6.92,有,
349,中山區,房地(土地+建物)+車位,臺北市中山區北安路７８９號七樓之３,9.84,住,,,1110118,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,98.72,4,2,1,有,有,27680000,301210,塔式車位,12.8,1800000,,RPUPMLLKLHHGFCA47DA,42.05,5.64,6.68,有,106.0
350,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段４６７號五樓之３,43.8,住,,,1110217,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970916,239.27,4,2,2,有,有,63000000,278263,坡道平面,21.85,2500000,,RPTQMLLKLHHGFCA47DA,131.87,8.91,13.71,有,
351,中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段６２巷１２號八樓,13.79,商,,,1110109,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,212.25,4,2,2,有,有,52800000,278337,坡道平面,33.33,3000000,,RPXOMLLJLHHGFCA57DA,108.82,6.88,12.88,有,
353,中山區,房地(土地+建物),臺北市中山區雙城街３巷２號八樓之５,5.87,商,,,1110215,土地1建物1車位0,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841201,39.39,1,1,1,有,有,6675200,169464,,0.0,0,其他增建；,RPXQMLRJLHHGFCA38DA,22.8,0.9,3.15,有,107.0
354,中山區,房地(土地+建物)+車位,臺北市中山區民權東路一段２９號十五樓,17.82,商,,,1101108,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,279.27,4,1,4,有,有,15880000,56863,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVPMLNJLHHGFCA67DA,144.78,0.0,15.54,有,
370,中正區,房地(土地+建物)+車位,臺北市中正區水源路３７之６號六樓,11.31,住,,,1110121,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070223,119.11,2,1,1,有,有,23480000,197129,坡道平面,32.06,0,,RPOOMLOKLHHGFAA86DA,49.67,3.76,3.74,有,
371,中正區,房地(土地+建物)+車位,臺北市中正區汀州路三段３１號三樓,16.22,住,,,1110127,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090115,135.57999999999998,2,2,2,有,有,35000000,292872,其他,24.61,2500000,,RPQOMLOKLHHGFAA07DA,63.33,2.59,8.36,有,112.0
372,萬華區,房地(土地+建物),臺北市萬華區康定路１０５號七樓之１５,3.46,商,,,1110217,土地1建物1車位0,七層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,51.230000000000004,1,1,1,有,有,10000000,195198,,0.0,0,,RPWPMLRKKHHGFBA08DA,30.02,0.61,3.21,有,113.0
374,中正區,房地(土地+建物),臺北市中正區羅斯福路三段１３６號二十二樓之１,29.11,商,,,1100115,土地2建物1車位0,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100520,301.13,4,2,3,有,有,126000000,418424,,0.0,0,,RPOQMLOJLHHGFAA96DA,180.09,7.76,20.18,有,
377,文山區,房地(土地+建物)+車位,臺北市文山區萬壽路６１巷１１號八樓,93.48,住,,,1110128,土地1建物1車位1,八層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841220,181.48999999999998,3,2,2,有,有,23500000,129484,坡道平面,0.0,0,含土地增值稅或其他稅費；,RPWNMLOJLHHGFAA47DA,149.28,1.71,10.15,有,
