,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
999,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２２號八樓之３,26.01,住,,,1101123,土地1建物1車位2,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,161.94,2,2,2,有,有,11770000,102470,坡道平面,77.33,3100000,預售屋、或土地及建物分件登記案件；,RPQOMLLJLHHGFIB57DA,52.6,0.0,3.98,有,
1000,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號七樓之３,26.01,住,,,1101212,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,120.16,2,2,2,有,有,10160000,104770,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPSOMLLJLHHGFIB77DA,52.6,0.0,3.98,有,
1001,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號八樓之３,26.01,住,,,1101217,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,120.16,2,2,2,有,有,10200000,105257,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPTOMLLJLHHGFIB87DA,52.6,0.0,3.98,有,
1002,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號七樓之７,25.73,住,,,1101215,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,119.1,2,2,2,有,有,9620000,99482,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPVOMLLJLHHGFIB08DA,51.98,0.0,3.98,有,
1006,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２６號七樓之２,38.73,住,,,1100503,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,157.05,3,2,2,有,有,12500000,91963,坡道平面,37.98,1550000,,RPPPMLMJLHHGFIB67DA,74.61,0.0,9.81,有,
1007,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２６號九樓之３,29.33,住,,,1100623,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,128.27,2,2,2,有,有,9600000,89157,坡道平面,37.98,1550000,,RPQPMLMJLHHGFIB77DA,59.82,0.0,4.17,有,
1008,大里區,房地(土地+建物)+車位,臺中市大里區爽文路９５５號十樓之５,29.0,住,,,1110207,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050128,204.09,3,2,2,有,有,23000000,112695,坡道平面,0.0,0,,RPUOMLRKKHHGFIB58DA,100.09,6.94,9.31,有,
1010,大里區,房地(土地+建物),臺中市大里區中興路二段６７１巷８弄３２號四樓,3.58,住,,,1110228,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841222,35.629999999999995,1,1,1,有,有,2290000,64272,,0.0,0,,RPPNMLSLKHHGFIB18DA,20.13,0.0,3.0,有,261.0
1018,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２２號八樓之９,26.01,住,,,1101112,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,122.58,2,2,2,有,有,9880000,98463,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPVOMLLKKHHGFIB08DA,52.6,0.0,3.98,有,
1019,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號七樓之５,25.73,住,,,1101216,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,120.47999999999999,2,2,2,有,有,9700000,100456,坡道平面,39.35,1550000,預售屋、或土地及建物分件登記案件；,RPXPMLLKKHHGFIB38DA,51.98,0.0,3.98,有,
1020,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號六樓之８,26.01,住,,,1101213,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,120.16,2,2,2,有,有,9860000,101119,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPQQMLLKKHHGFIB77DA,52.6,0.0,3.98,有,
1021,烏日區,房地(土地+建物)+車位,臺中市烏日區三榮北路１２０號八樓之８,26.01,住,,,1101209,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100913,120.16,2,2,2,有,有,10150000,104648,坡道平面,37.98,1550000,預售屋、或土地及建物分件登記案件；,RPRQMLLKKHHGFIB87DA,52.6,0.0,3.98,有,
