鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
信義區,房地(土地+建物),臺北市信義區吳興街６００巷７６弄２２號三樓之２,16.07,住,,,1110216,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050301,70.3,2,1,1,有,有,14600000,207681,,0.0,0,含土地增值稅或其他稅費37000元；,RPRPMLRKLHHGFDA97EA,39.26,5.22,3.64,有,152
南港區,房地(土地+建物)+車位,臺北市南港區園區街４２號十樓之３,13.33,住,,,1110222,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000414,113.46000000000001,2,2,1,有,有,26210000,231007,坡道平面,33.87,0,,RPRNMLPKLHHGFDA57EA,49.97,1.67,3.71,有,
松山區,房地(土地+建物),臺北市松山區民生東路三段１１３巷７弄１０號四樓之１,25.25,商,,,1110221,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700120,132.23000000000002,3,2,2,有,有,33800000,255615,,0.0,0,陽台外推；,RPQOMLPKLHHGFDA57EA,102.04,0.0,15.97,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８６號二樓之１,50.6,住,,,1090322,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,129.47,2,2,1,有,有,15300000,142223,坡道平面,34.9,1850000,,RPWNMLPKLHHGFEA18EA,55.76,1.85,7.65,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８６號五樓之１,50.97,住,,,1100224,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,130.27999999999997,2,2,1,有,有,16600000,154645,坡道平面,34.9,1850000,,RPXNMLPKLHHGFEA28EA,55.76,2.87,7.44,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８８號二樓,87.64,住,,,1100805,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,198.32999999999998,3,2,2,有,有,26300000,148076,坡道平面,34.9,2100000,,RPOOMLPKLHHGFEA47EA,96.25,10.38,9.57,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８８號二樓之３,43.64,住,,,1090627,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,114.53,2,2,1,有,有,13500000,143162,坡道平面,34.9,2100000,,RPPOMLPKLHHGFEA57EA,47.83,0.96,7.3,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８８號三樓之５,73.71,住,,,1090524,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,171.25,3,2,2,有,有,20840000,139274,坡道平面,34.9,1850000,,RPQOMLPKLHHGFEA67EA,80.71,8.37,7.71,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８６號二樓,65.64,住,,,1100614,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,157.84,3,2,2,有,有,19800000,146413,坡道機械,34.9,1800000,,RPROMLPKLHHGFEA77EA,72.07,8.9,3.94,有,
北投區,房地(土地+建物)+車位,臺北市北投區稻香路１８６之１號,100.84,住,,,1100324,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101217,213.44,4,2,2,有,有,29780000,154475,坡道平面,34.9,2200000,,RPSOMLPKLHHGFEA87EA,110.54,0.0,9.97,有,
