鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
太平區,房地(土地+建物)+車位,臺中市太平區建興路４８巷６號三樓之１０,19.21,住,,,1110127,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830624,135.97,3,2,2,有,有,6600000,48540,坡道機械,0.0,0,陽台外推；,RPSNMLRJKHHGFJB28DA,74.55,6.18,15.13,有,
太平區,房地(土地+建物),臺中市太平區太順路３２７號,105.05,住,,,1110117,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,1021223,293.31,6,4,4,有,無,29500000,100576,,0.0,0,,RPPNMLPKKHHGFJB87DA,259.58,0.0,33.73,無,
大里區,房地(土地+建物),臺中市大里區新南路３３之５號,28.38,住,,,1110213,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690105,72.54,4,0,4,有,無,4700000,64792,,0.0,0,含租約；,RPUWMLRJLHHGFIB76DA,72.54,0.0,0.0,無,0049
大里區,房地(土地+建物),臺中市大里區福大路３６巷６號,68.2,,鄉村區,乙種建築用地,1110211,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0680225,66.0,4,2,3,有,無,5300000,80303,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTJLHHGFIB68DA,66.0,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區塗城路４８９巷２０之１號,105.53,,鄉村區,乙種建築用地,1110224,土地1建物1車位1,全,三層,透天厝,其他,鋼筋混凝土造,0880326,180.36,5,2,3,有,無,8000000,44356,一樓平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTJLHHGFIB78DA,173.98,0.0,6.38,無,
大里區,房地(土地+建物),臺中市大里區大明路４６０號六樓之２,14.59,商,,,1110104,土地1建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930105,104.09,2,2,2,有,有,8100000,77817,,0.0,0,,RPUNMLSJLHHGFIB58DA,71.91,0.0,3.56,有,
大里區,房地(土地+建物),臺中市大里區西榮路１５２巷１１弄３之４號,26.55,住,,,1110122,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810415,88.25,3,2,2,有,無,4700000,53258,,0.0,0,陽台外推；,RPQPMLNJLHHGFIB87DA,71.39,0.0,6.19,無,0050
大里區,土地,崇光段1140地號,7.84,住,,,1110221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,360000,45918,,0.0,0,標的上有土地公廟親友、員工、共有人或其他特殊關係間之交易；,RPTOMLLLKHHGFIB97DA,0.0,0.0,0.0,無,
烏日區,房地(土地+建物),臺中市烏日區學田路便行巷２０８弄６６號,272.26,住,,,1110125,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0950320,262.1,4,3,3,有,無,14200000,54178,,0.0,0,,RPQOMLNLKHHGFIB87DA,225.76,0.0,11.31,無,
烏日區,房地(土地+建物),臺中市烏日區溪南路一段４６０巷４６２弄３３號,123.0,,鄉村區,乙種建築用地,1110121,土地2建物1車位0,全,三層,透天厝,其他,鋼筋混凝土造,0891201,155.12,5,2,3,有,無,12000000,77359,,0.0,0,其他增建；,RPQPMLRKKHHGFIB28DA,145.04,0.0,10.08,無,0051
