鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２５６號九樓,12.83,住,,,1080327,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,93.39,1,0,1,有,有,6050000,71635,坡道平面,27.78,1350000,轉讓日期110.07.15總金額700萬元整預售屋、或土地及建物分件登記案件；,RPRVMLRJLHHGFBH88DA,38.88,0.88,2.98,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區新生路三段８８０號十二樓,29.77,住,,,1110113,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050801,170.28,3,2,2,有,有,13800000,81043,坡道平面,0.0,0,,RPSNMLSJLHHGFBH28DA,82.56,1.38,8.98,有,0240
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號六樓,24.06,住,,,1080310,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,9820000,68265,坡道平面,27.78,1450000,第一次轉讓日期109.10.13總金額不變，第二次轉讓日期110.11.16總金額不變預售屋、或土地及建物分件登記案件；,RPVTMLRJLHHGFBH09DA,71.28,2.05,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號十樓,24.06,住,,,1080318,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,9900000,72180,坡道平面,27.78,1050000,轉讓日期109.05.16總金額1040萬元整預售屋、或土地及建物分件登記案件；,RPXTMLRJLHHGFBH66DA,71.28,2.05,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號十一樓,24.1,住,,,1080629,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,178.68,3,2,2,有,有,12250000,74318,坡道平面,55.56,3100000,轉讓日期110.02.24總金額1310萬元整預售屋、或土地及建物分件登記案件；,RPOUMLRJLHHGFBH48DA,71.28,2.05,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號十二樓,24.06,住,,,1080618,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,10600000,74627,坡道平面,27.78,1450000,轉讓日期110.08.29總金額1080萬元整預售屋、或土地及建物分件登記案件；,RPPUMLRJLHHGFBH58DA,71.28,2.05,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２２號十五樓,24.06,住,,,1080705,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,150.39,3,2,2,有,有,10700000,75442,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPQUMLRJLHHGFBH68DA,71.28,2.05,6.94,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號二樓,21.0,住,,,1080324,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,134.81,3,2,2,有,有,9990000,79791,坡道平面,27.78,1450000,預售屋、或土地及建物分件登記案件；,RPSUMLRJLHHGFBH88DA,63.78,0.0,6.24,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號四樓,22.15,住,,,1080310,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,140.7,3,2,2,有,有,9000000,67747,坡道平面,27.78,1350000,預售屋、或土地及建物分件登記案件；,RPTUMLRJLHHGFBH98DA,63.56,4.52,5.81,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區領航北路二段２２６號十二樓,22.15,住,,,1080706,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101101,140.7,3,2,2,有,有,9660000,71821,坡道平面,27.78,1550000,預售屋、或土地及建物分件登記案件；,RPVUMLRJLHHGFBH56DA,63.56,4.52,5.81,有,
